source,target,location_weight,travel_weight,consume_weight,location_weight_norm,travel_weight_norm,consume_weight_norm,score
Edvard Vann,Vira Frente,5.0,6.0,5.0,0.2,0.2,0.11467889908256881,0.21952293577981655
Isak Baza,Lucas Alcazar,8.0,9.6,4.0,0.32,0.32,0.09174311926605505,0.21947889908256882
Felix Resumir,Linnea Bergen,2.0,2.4,25.6,0.08,0.08,0.5871559633027523,0.21771743119266054
Bertrand Ovan,Inga Ferro,4.0,4.8,11.0,0.16,0.16,0.2522935779816514,0.21415045871559632
Bertrand Ovan,Isak Baza,4.0,4.8,11.0,0.16,0.16,0.2522935779816514,0.21415045871559632
Kanon Herrero,Lucas Alcazar,5.0,6.0,4.0,0.2,0.2,0.09174311926605505,0.21401834862385324
Felix Resumir,Kare Orilla,5.0,6.0,4.0,0.2,0.2,0.09174311926605505,0.21401834862385324
Edvard Vann,Ingrid Barranco,4.0,4.8,10.0,0.16,0.16,0.22935779816513763,0.20864587155963302
Orhan Strum,Varja Lagos,5.0,6.0,3.0,0.2,0.2,0.06880733944954129,0.20851376146788994
Marin Onda,Nils Calixto,5.0,6.0,3.0,0.2,0.2,0.06880733944954129,0.20851376146788994
Adra Nubarron,Hennie Osvaldo,6.0,7.199999999999999,14.400000000000002,0.24,0.23999999999999996,0.33027522935779824,0.20644403669724773
Isak Baza,Nils Calixto,6.0,7.199999999999999,14.0,0.24,0.23999999999999996,0.3211009174311927,0.20497614678899084
Stenig Fusil,Sven Flecha,4.0,4.8,9.2,0.16,0.16,0.2110091743119266,0.20424220183486239
Nils Calixto,Orhan Strum,5.0,6.0,2.0,0.2,0.2,0.045871559633027525,0.20300917431192664
Brand Tempestad,Inga Ferro,4.0,4.8,8.2,0.16,0.16,0.18807339449541283,0.19873761467889908
Edvard Vann,Sven Flecha,4.0,4.8,8.2,0.16,0.16,0.18807339449541283,0.19873761467889908
Felix Resumir,Isak Baza,4.0,4.8,8.0,0.16,0.16,0.1834862385321101,0.1976366972477064
Bertrand Ovan,Nils Calixto,5.0,6.0,1.0,0.2,0.2,0.022935779816513763,0.19750458715596333
Edvard Vann,Marin Onda,5.0,6.0,1.0,0.2,0.2,0.022935779816513763,0.19750458715596333
Hideki Cocinaro,Lars Azada,5.0,6.0,1.0,0.2,0.2,0.022935779816513763,0.19750458715596333
Felix Resumir,Inga Ferro,5.0,6.0,18.400000000000002,0.2,0.2,0.4220183486238533,0.19552293577981655
Bertrand Ovan,Lucas Alcazar,4.0,4.8,7.0,0.16,0.16,0.16055045871559634,0.1921321100917431
Edvard Vann,Felix Balas,4.0,4.8,7.0,0.16,0.16,0.16055045871559634,0.1921321100917431
Linnea Bergen,Vira Frente,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Minke Mies,Vira Frente,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Gustav Cazar,Varja Lagos,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Birgitta Frente,Ingrid Barranco,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Nils Calixto,Varja Lagos,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Edvard Vann,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Felix Resumir,Orhan Strum,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Birgitta Frente,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Bertrand Ovan,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Bertrand Ovan,Ingrid Barranco,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Gustav Cazar,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Adra Nubarron,Kare Orilla,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Isia Vann,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Adra Nubarron,Lucas Alcazar,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Sven Flecha,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Brand Tempestad,Elsa Orilla,7.0,8.4,3.0,0.28,0.28,0.06880733944954129,0.19020917431192663
Brand Tempestad,Isia Vann,4.0,4.8,6.4,0.16,0.16,0.14678899082568808,0.18882935779816515
Hideki Cocinaro,Isak Baza,4.0,4.8,6.0,0.16,0.16,0.13761467889908258,0.1866275229357798
Kare Orilla,Sven Flecha,4.0,4.8,6.0,0.16,0.16,0.13761467889908258,0.1866275229357798
Hennie Osvaldo,Inga Ferro,5.0,6.0,15.400000000000004,0.2,0.2,0.35321100917431203,0.18451376146788998
Isia Vann,Loreto Bodrogi,6.0,7.199999999999999,8.4,0.24,0.23999999999999996,0.1926605504587156,0.18442568807339452
Brand Tempestad,Linnea Bergen,4.0,4.8,5.4,0.16,0.16,0.12385321100917433,0.18332477064220185
Ingrid Barranco,Orhan Strum,7.0,8.4,1.0,0.28,0.28,0.022935779816513763,0.18286972477064223
Hennie Osvaldo,Isak Baza,3.0,3.5999999999999996,12.0,0.12,0.11999999999999998,0.27522935779816515,0.18125504587155963
