source,target,location_weight,travel_weight,consume_weight,location_weight_norm,travel_weight_norm,consume_weight_norm,score
Edvard Vann,Vira Frente,5.0,6.0,5.0,0.2,0.2,0.11467889908256881,0.21952293577981655
Isak Baza,Lucas Alcazar,8.0,9.6,4.0,0.32,0.32,0.09174311926605505,0.21947889908256882
Felix Resumir,Linnea Bergen,2.0,2.4,25.6,0.08,0.08,0.5871559633027523,0.21771743119266054
Bertrand Ovan,Inga Ferro,4.0,4.8,11.0,0.16,0.16,0.2522935779816514,0.21415045871559632
Bertrand Ovan,Isak Baza,4.0,4.8,11.0,0.16,0.16,0.2522935779816514,0.21415045871559632
Kanon Herrero,Lucas Alcazar,5.0,6.0,4.0,0.2,0.2,0.09174311926605505,0.21401834862385324
Felix Resumir,Kare Orilla,5.0,6.0,4.0,0.2,0.2,0.09174311926605505,0.21401834862385324
Edvard Vann,Ingrid Barranco,4.0,4.8,10.0,0.16,0.16,0.22935779816513763,0.20864587155963302
Orhan Strum,Varja Lagos,5.0,6.0,3.0,0.2,0.2,0.06880733944954129,0.20851376146788994
Marin Onda,Nils Calixto,5.0,6.0,3.0,0.2,0.2,0.06880733944954129,0.20851376146788994
Adra Nubarron,Hennie Osvaldo,6.0,7.199999999999999,14.400000000000002,0.24,0.23999999999999996,0.33027522935779824,0.20644403669724773
Isak Baza,Nils Calixto,6.0,7.199999999999999,14.0,0.24,0.23999999999999996,0.3211009174311927,0.20497614678899084
Stenig Fusil,Sven Flecha,4.0,4.8,9.2,0.16,0.16,0.2110091743119266,0.20424220183486239
Nils Calixto,Orhan Strum,5.0,6.0,2.0,0.2,0.2,0.045871559633027525,0.20300917431192664
Brand Tempestad,Inga Ferro,4.0,4.8,8.2,0.16,0.16,0.18807339449541283,0.19873761467889908
Edvard Vann,Sven Flecha,4.0,4.8,8.2,0.16,0.16,0.18807339449541283,0.19873761467889908
Felix Resumir,Isak Baza,4.0,4.8,8.0,0.16,0.16,0.1834862385321101,0.1976366972477064
Bertrand Ovan,Nils Calixto,5.0,6.0,1.0,0.2,0.2,0.022935779816513763,0.19750458715596333
Edvard Vann,Marin Onda,5.0,6.0,1.0,0.2,0.2,0.022935779816513763,0.19750458715596333
Hideki Cocinaro,Lars Azada,5.0,6.0,1.0,0.2,0.2,0.022935779816513763,0.19750458715596333
Felix Resumir,Inga Ferro,5.0,6.0,18.400000000000002,0.2,0.2,0.4220183486238533,0.19552293577981655
Bertrand Ovan,Lucas Alcazar,4.0,4.8,7.0,0.16,0.16,0.16055045871559634,0.1921321100917431
Edvard Vann,Felix Balas,4.0,4.8,7.0,0.16,0.16,0.16055045871559634,0.1921321100917431
Linnea Bergen,Vira Frente,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Minke Mies,Vira Frente,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Gustav Cazar,Varja Lagos,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Birgitta Frente,Ingrid Barranco,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Nils Calixto,Varja Lagos,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Edvard Vann,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Felix Resumir,Orhan Strum,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Birgitta Frente,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Bertrand Ovan,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Bertrand Ovan,Ingrid Barranco,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Gustav Cazar,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Adra Nubarron,Kare Orilla,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Isia Vann,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Adra Nubarron,Lucas Alcazar,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Ada Campo-Corrente,Sven Flecha,5.0,6.0,0.0,0.2,0.2,0.0,0.19200000000000003
Brand Tempestad,Elsa Orilla,7.0,8.4,3.0,0.28,0.28,0.06880733944954129,0.19020917431192663
Brand Tempestad,Isia Vann,4.0,4.8,6.4,0.16,0.16,0.14678899082568808,0.18882935779816515
Hideki Cocinaro,Isak Baza,4.0,4.8,6.0,0.16,0.16,0.13761467889908258,0.1866275229357798
Kare Orilla,Sven Flecha,4.0,4.8,6.0,0.16,0.16,0.13761467889908258,0.1866275229357798
Hennie Osvaldo,Inga Ferro,5.0,6.0,15.400000000000004,0.2,0.2,0.35321100917431203,0.18451376146788998
Isia Vann,Loreto Bodrogi,6.0,7.199999999999999,8.4,0.24,0.23999999999999996,0.1926605504587156,0.18442568807339452
Brand Tempestad,Linnea Bergen,4.0,4.8,5.4,0.16,0.16,0.12385321100917433,0.18332477064220185
Ingrid Barranco,Orhan Strum,7.0,8.4,1.0,0.28,0.28,0.022935779816513763,0.18286972477064223
Hennie Osvaldo,Isak Baza,3.0,3.5999999999999996,12.0,0.12,0.11999999999999998,0.27522935779816515,0.18125504587155963
Isak Baza,Marin Onda,4.0,4.8,5.0,0.16,0.16,0.11467889908256881,0.1811229357798165
Axel Calzas,Linnea Bergen,4.0,4.8,5.0,0.16,0.16,0.11467889908256881,0.1811229357798165
Elsa Orilla,Kare Orilla,7.0,8.4,0.0,0.28,0.28,0.0,0.17920000000000003
Elsa Orilla,Lidelse Dedos,7.0,8.4,0.0,0.28,0.28,0.0,0.17920000000000003
Loreto Bodrogi,Varja Lagos,4.0,4.8,20.000000000000004,0.16,0.16,0.4587155963302753,0.17579449541284406
Bertrand Ovan,Birgitta Frente,4.0,4.8,4.0,0.16,0.16,0.09174311926605505,0.1756183486238532
Bertrand Ovan,Marin Onda,4.0,4.8,4.0,0.16,0.16,0.09174311926605505,0.1756183486238532
Isia Vann,Vira Frente,4.0,4.8,4.0,0.16,0.16,0.09174311926605505,0.1756183486238532
Kare Orilla,Lucas Alcazar,4.0,4.8,4.0,0.16,0.16,0.09174311926605505,0.1756183486238532
Bertrand Ovan,Stenig Fusil,3.0,3.5999999999999996,10.2,0.12,0.11999999999999998,0.23394495412844035,0.1713467889908257
Felix Resumir,Lars Azada,4.0,4.8,3.0,0.16,0.16,0.06880733944954129,0.1701137614678899
Lucas Alcazar,Varja Lagos,4.0,4.8,3.0,0.16,0.16,0.06880733944954129,0.1701137614678899
Inga Ferro,Nils Calixto,4.0,4.8,3.0,0.16,0.16,0.06880733944954129,0.1701137614678899
Elsa Orilla,Linnea Bergen,4.0,4.8,3.0,0.16,0.16,0.06880733944954129,0.1701137614678899
Isia Vann,Orhan Strum,4.0,4.8,3.0,0.16,0.16,0.06880733944954129,0.1701137614678899
Brand Tempestad,Ingrid Barranco,4.0,4.8,3.0,0.16,0.16,0.06880733944954129,0.1701137614678899
Adra Nubarron,Felix Resumir,4.0,4.8,18.400000000000002,0.16,0.16,0.4220183486238533,0.16992293577981654
Sten Sanjorge Jr.,Varja Lagos,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.1646091743119266
Isia Vann,Marin Onda,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.1646091743119266
Birgitta Frente,Loreto Bodrogi,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.1646091743119266
Kanon Herrero,Orhan Strum,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.1646091743119266
Kanon Herrero,Minke Mies,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.1646091743119266
Inga Ferro,Lars Azada,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.1646091743119266
Axel Calzas,Felix Resumir,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.1646091743119266
Axel Calzas,Lucas Alcazar,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.1646091743119266
Isia Vann,Lars Azada,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Lidelse Dedos,Orhan Strum,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Axel Calzas,Nils Calixto,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Lars Azada,Stenig Fusil,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Bertrand Ovan,Felix Balas,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Nils Calixto,Stenig Fusil,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Lars Azada,Sven Flecha,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Edvard Vann,Kanon Herrero,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Bertrand Ovan,Vira Frente,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Ingrid Barranco,Stenig Fusil,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Felix Resumir,Vira Frente,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Gustav Cazar,Nils Calixto,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Ingrid Barranco,Loreto Bodrogi,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Ingrid Barranco,Isak Baza,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.1591045871559633
Felix Resumir,Hideki Cocinaro,5.0,6.0,8.0,0.2,0.2,0.1834862385321101,0.15735779816513765
Felix Resumir,Sven Flecha,2.0,2.4,14.600000000000001,0.08,0.08,0.33486238532110096,0.15716697247706427
Ada Campo-Corrente,Felix Balas,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Hideki Cocinaro,Vira Frente,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Ada Campo-Corrente,Vira Frente,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Elsa Orilla,Varja Lagos,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Kanon Herrero,Nils Calixto,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Isia Vann,Nils Calixto,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Isande Borrasca,Varja Lagos,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Isak Baza,Isande Borrasca,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Ada Campo-Corrente,Kare Orilla,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Ada Campo-Corrente,Adra Nubarron,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Axel Calzas,Loreto Bodrogi,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Brand Tempestad,Orhan Strum,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Adra Nubarron,Vira Frente,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Adra Nubarron,Nils Calixto,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Adra Nubarron,Ingrid Barranco,4.0,4.8,0.0,0.16,0.16,0.0,0.1536
Loreto Bodrogi,Sven Flecha,2.0,2.4,12.8,0.08,0.08,0.29357798165137616,0.14725871559633028
Inga Ferro,Isia Vann,4.0,4.8,12.2,0.16,0.16,0.2798165137614679,0.14717064220183487
Hennie Osvaldo,Minke Mies,4.0,4.8,12.0,0.16,0.16,0.27522935779816515,0.14643669724770644
Gustav Cazar,Vira Frente,5.0,6.0,5.0,0.2,0.2,0.11467889908256881,0.14634862385321104
Linnea Bergen,Varja Lagos,2.0,2.4,12.0,0.08,0.08,0.27522935779816515,0.14285504587155964
Inga Ferro,Marin Onda,3.0,3.5999999999999996,5.0,0.12,0.11999999999999998,0.11467889908256881,0.1427229357798165
Minke Mies,Sven Flecha,2.0,2.4,11.8,0.08,0.08,0.27064220183486243,0.14175412844036697
Axel Calzas,Felix Balas,4.0,4.8,10.0,0.16,0.16,0.22935779816513763,0.13909724770642204
Edvard Vann,Varja Lagos,2.0,2.4,23.800000000000004,0.08,0.08,0.5458715596330277,0.13853944954128444
Brand Tempestad,Edvard Vann,2.0,2.4,11.200000000000001,0.08,0.08,0.25688073394495414,0.13845137614678898
Brand Tempestad,Felix Resumir,2.0,2.4,11.0,0.08,0.08,0.2522935779816514,0.13735045871559634
Isak Baza,Kare Orilla,2.0,2.4,11.0,0.08,0.08,0.2522935779816514,0.13735045871559634
Felix Resumir,Lidelse Dedos,2.0,2.4,11.0,0.08,0.08,0.2522935779816514,0.13735045871559634
Linnea Bergen,Orhan Strum,3.0,3.5999999999999996,4.0,0.12,0.11999999999999998,0.09174311926605505,0.1372183486238532
Adra Nubarron,Linnea Bergen,2.0,2.4,10.8,0.08,0.08,0.24770642201834867,0.13624954128440367
Inga Ferro,Varja Lagos,2.0,2.4,23.000000000000004,0.08,0.08,0.5275229357798166,0.13560366972477067
Hideki Cocinaro,Loreto Bodrogi,5.0,6.0,2.0,0.2,0.2,0.045871559633027525,0.13533944954128443
Adra Nubarron,Varja Lagos,2.0,2.4,22.600000000000005,0.08,0.08,0.5183486238532111,0.13413577981651378
Bertrand Ovan,Isia Vann,2.0,2.4,10.2,0.08,0.08,0.23394495412844035,0.13294678899082568
Bertrand Ovan,Edvard Vann,2.0,2.4,10.000000000000002,0.08,0.08,0.22935779816513766,0.13184587155963304
Axel Calzas,Vira Frente,4.0,4.8,8.0,0.16,0.16,0.1834862385321101,0.13175779816513764
Isak Baza,Linnea Bergen,4.0,4.8,8.0,0.16,0.16,0.1834862385321101,0.13175779816513764
Lars Azada,Loreto Bodrogi,3.0,3.5999999999999996,3.0,0.12,0.11999999999999998,0.06880733944954129,0.1317137614678899
Inga Ferro,Loreto Bodrogi,3.0,3.5999999999999996,14.8,0.12,0.11999999999999998,0.3394495412844037,0.1311119266055046
Hideki Cocinaro,Inga Ferro,5.0,6.0,0.0,0.2,0.2,0.0,0.12800000000000003
Bertrand Ovan,Loreto Bodrogi,2.0,2.4,9.2,0.08,0.08,0.2110091743119266,0.12744220183486238
Inga Ferro,Linnea Bergen,2.0,2.4,9.0,0.08,0.08,0.20642201834862386,0.12634128440366973
Hennie Osvaldo,Orhan Strum,3.0,3.5999999999999996,2.0,0.12,0.11999999999999998,0.045871559633027525,0.1262091743119266
Lidelse Dedos,Varja Lagos,3.0,3.5999999999999996,2.0,0.12,0.11999999999999998,0.045871559633027525,0.1262091743119266
Kanon Herrero,Kare Orilla,4.0,4.8,6.0,0.16,0.16,0.13761467889908258,0.12441834862385322
Kanon Herrero,Vira Frente,4.0,4.8,6.0,0.16,0.16,0.13761467889908258,0.12441834862385322
Linnea Bergen,Stenig Fusil,2.0,2.4,8.399999999999999,0.08,0.08,0.19266055045871558,0.12303853211009175
Bertrand Ovan,Lidelse Dedos,2.0,2.4,8.0,0.08,0.08,0.1834862385321101,0.12083669724770642
Bertrand Ovan,Gustav Cazar,3.0,3.5999999999999996,1.0,0.12,0.11999999999999998,0.022935779816513763,0.1207045871559633
Marin Onda,Orhan Strum,3.0,3.5999999999999996,1.0,0.12,0.11999999999999998,0.022935779816513763,0.1207045871559633
Kanon Herrero,Sten Sanjorge Jr.,3.0,3.5999999999999996,1.0,0.12,0.11999999999999998,0.022935779816513763,0.1207045871559633
Hideki Cocinaro,Sven Flecha,3.0,3.5999999999999996,1.0,0.12,0.11999999999999998,0.022935779816513763,0.1207045871559633
Isia Vann,Kare Orilla,3.0,3.5999999999999996,1.0,0.12,0.11999999999999998,0.022935779816513763,0.1207045871559633
Bertrand Ovan,Sven Flecha,0.0,0.0,21.8,0.0,0.0,0.5,0.12
Edvard Vann,Linnea Bergen,2.0,2.4,7.6,0.08,0.08,0.1743119266055046,0.1186348623853211
Brand Tempestad,Minke Mies,2.0,2.4,7.3999999999999995,0.08,0.08,0.16972477064220184,0.11753394495412844
Linnea Bergen,Loreto Bodrogi,2.0,2.4,7.3999999999999995,0.08,0.08,0.16972477064220184,0.11753394495412844
Lucas Alcazar,Sven Flecha,4.0,4.8,4.0,0.16,0.16,0.09174311926605505,0.11707889908256881
Brand Tempestad,Stenig Fusil,2.0,2.4,7.2,0.08,0.08,0.1651376146788991,0.11643302752293577
Hennie Osvaldo,Kanon Herrero,2.0,2.4,7.0,0.08,0.08,0.16055045871559634,0.11533211009174311
Kare Orilla,Nils Calixto,2.0,2.4,7.0,0.08,0.08,0.16055045871559634,0.11533211009174311
Ada Campo-Corrente,Linnea Bergen,3.0,3.5999999999999996,0.0,0.12,0.11999999999999998,0.0,0.1152
Elsa Orilla,Inga Ferro,3.0,3.5999999999999996,0.0,0.12,0.11999999999999998,0.0,0.1152
Ingrid Barranco,Linnea Bergen,3.0,3.5999999999999996,0.0,0.12,0.11999999999999998,0.0,0.1152
Gustav Cazar,Sven Flecha,3.0,3.5999999999999996,0.0,0.12,0.11999999999999998,0.0,0.1152
Elsa Orilla,Nils Calixto,3.0,3.5999999999999996,0.0,0.12,0.11999999999999998,0.0,0.1152
Adra Nubarron,Kanon Herrero,3.0,3.5999999999999996,0.0,0.12,0.11999999999999998,0.0,0.1152
Edvard Vann,Stenig Fusil,3.0,3.5999999999999996,10.2,0.12,0.11999999999999998,0.23394495412844035,0.11423119266055047
Elsa Orilla,Marin Onda,4.0,4.8,3.0,0.16,0.16,0.06880733944954129,0.11340917431192661
Minke Mies,Varja Lagos,2.0,2.4,16.6,0.08,0.08,0.3807339449541285,0.11211743119266059
Isia Vann,Varja Lagos,2.0,2.4,16.6,0.08,0.08,0.3807339449541285,0.11211743119266059
Hennie Osvaldo,Marin Onda,2.0,2.4,6.0,0.08,0.08,0.13761467889908258,0.10982752293577981
Kare Orilla,Linnea Bergen,2.0,2.4,6.0,0.08,0.08,0.13761467889908258,0.10982752293577981
Lidelse Dedos,Sven Flecha,2.0,2.4,6.0,0.08,0.08,0.13761467889908258,0.10982752293577981
Birgitta Frente,Lucas Alcazar,2.0,2.4,6.0,0.08,0.08,0.13761467889908258,0.10982752293577981
Brand Tempestad,Kanon Herrero,4.0,4.8,2.0,0.16,0.16,0.045871559633027525,0.10973944954128441
Felix Resumir,Stenig Fusil,2.0,2.4,15.8,0.08,0.08,0.3623853211009175,0.10918165137614683
Hennie Osvaldo,Linnea Bergen,0.0,0.0,19.6,0.0,0.0,0.4495412844036698,0.10788990825688076
Isia Vann,Sven Flecha,2.0,2.4,5.6,0.08,0.08,0.12844036697247707,0.1076256880733945
Hideki Cocinaro,Minke Mies,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.10606972477064221
Nils Calixto,Sven Flecha,4.0,4.8,1.0,0.16,0.16,0.022935779816513763,0.10606972477064221
