last4ccnum,loyaltynum,Matched_CarID,FullName,CurrentEmploymentType,CurrentEmploymentTitle,Inference_Probability_Str,Car_Share_Prob,Loyalty_Share_Prob,Match_Count,Certainty_Level,Uncertainty_Reason,
1415,L7783,2,Lars Azada,Engineering,Engineer,10.27%,0.10267005721551176,1,24,Low (高危),一车绑多卡(车主概率:10%),
2142,L9637,25,Kanon Herrero,Engineering,Geologist,77.24%,0.7724086661002549,1,25,Low (高危),一车绑多卡(车主概率:77%),
2276,L3317,106,未定业务人员,跨部门调用,现场作业,11.11%,0.1111111111111111,1,10,Low (高危),公共卡车(幽灵集群),
2418,L9018,25,Kanon Herrero,Engineering,Geologist,22.76%,0.22759133389974512,1,20,Low (高危),一车绑多卡(车主概率:23%),
2463,L6886,,无车基层员工,未知,未知,11.11%,0.1111111111111111,1,23,Low (高危),无物理轨迹(幽灵集群),
2681,L1107,1,Nils Calixto,Information Technology,IT Helpdesk,18.68%,0.18676199761672624,1,20,Low (高危),一车绑多卡(车主概率:19%),
3484,L2490,23,Varja Lagos,Security,Badging Office,79.05%,0.7904564315352698,1,24,Low (高危),一车绑多卡(车主概率:79%),
3506,L7761,101,未定业务人员,跨部门调用,现场作业,11.11%,0.1111111111111111,1,6,Low (高危),公共卡车(幽灵集群),
3547,L9362,29,Bertrand Ovan,Facilities,Facilities Group Manager,50.45%,0.5045090496310778,1,14,Low (高危),一车绑多卡(车主概率:50%),
4530,L8477,107,未定业务人员,跨部门调用,现场作业,11.11%,0.1111111111111111,1,10,Low (高危),公共卡车(幽灵集群),
4795,L2070,34,Edvard Vann,Security,Perimeter Control,3.85%,1,0.038461538461538464,1,Low (高危),积分卡交叉互用(交易共现概率:4%),
4795,L8566,34,Edvard Vann,Security,Perimeter Control,96.15%,1,0.9615384615384616,25,Low (高危),积分卡交叉互用(交易共现概率:96%),
4948,L3295,28,Isande Borrasca,Engineering,Drill Technician,4.35%,1,0.043478260869565216,1,Low (高危),积分卡交叉互用(交易共现概率:4%),
4948,L9406,28,Isande Borrasca,Engineering,Drill Technician,95.65%,1,0.9565217391304348,22,Low (高危),积分卡交叉互用(交易共现概率:96%),
5368,L2247,30,Felix Resumir,Security,Security Group Manager,39.66%,0.41316931982633864,0.96,24,Low (高危),一车绑多卡(车主概率:41%) | 积分卡交叉互用(交易共现概率:96%),
5368,L6119,30,Felix Resumir,Security,Security Group Manager,1.65%,0.41316931982633864,0.04,1,Low (高危),一车绑多卡(车主概率:41%) | 积分卡交叉互用(交易共现概率:4%),
5407,L4034,21,Hennie Osvaldo,Security,Perimeter Control,11.43%,0.11426040744021257,1,20,Low (高危),一车绑多卡(车主概率:11%),
5921,L3295,29,Bertrand Ovan,Facilities,Facilities Group Manager,45.74%,0.4954909503689222,0.9230769230769231,12,Low (高危),一车绑多卡(车主概率:50%) | 积分卡交叉互用(交易共现概率:92%),
5921,L9406,29,Bertrand Ovan,Facilities,Facilities Group Manager,3.81%,0.4954909503689222,0.07692307692307693,1,Low (高危),一车绑多卡(车主概率:50%) | 积分卡交叉互用(交易共现概率:8%),
6899,L6267,5,Isak Baza,Information Technology,IT Technician,82.60%,0.8260366760284157,1,23,Low (高危),一车绑多卡(车主概率:83%) | 积分卡交叉互用(交易共现概率:100%),
7117,L6417,2,Lars Azada,Engineering,Engineer,10.27%,0.10267005721551176,1,28,Low (高危),一车绑多卡(车主概率:10%),
9735,L9633,107,未定业务人员,跨部门调用,现场作业,11.11%,0.1111111111111111,1,16,Low (高危),公共卡车(幽灵集群),
