carA,carB,location_weight,travel_weight,score,source,target,consume_weight,location_norm,travel_norm,consume_norm
12.0,27.0,2.0,2.0,0.3154471544715447,Hideki Cocinaro,Kare Orilla,4.0,0.3333333333333333,0.3333333333333333,0.24390243902439027
12.0,14.0,2.0,2.0,0.3154471544715447,Hideki Cocinaro,Lidelse Dedos,4.0,0.3333333333333333,0.3333333333333333,0.24390243902439027
4.0,33.0,2.0,2.0,0.3032520325203252,Brand Tempestad,Ingrid Barranco,3.0,0.3333333333333333,0.3333333333333333,0.1829268292682927
3.0,32.0,2.0,2.0,0.3032520325203252,Felix Balas,Orhan Strum,3.0,0.3333333333333333,0.3333333333333333,0.1829268292682927
14.0,15.0,2.0,2.0,0.2910569105691057,Lidelse Dedos,Loreto Bodrogi,2.0,0.3333333333333333,0.3333333333333333,0.12195121951219513
16.0,26.0,2.0,2.0,0.2910569105691057,Isia Vann,Marin Onda,2.0,0.3333333333333333,0.3333333333333333,0.12195121951219513
3.0,26.0,2.0,2.0,0.2910569105691057,Felix Balas,Marin Onda,2.0,0.3333333333333333,0.3333333333333333,0.12195121951219513
16.0,18.0,2.0,2.0,0.2788617886178862,Birgitta Frente,Isia Vann,1.0,0.3333333333333333,0.3333333333333333,0.06097560975609757
3.0,17.0,2.0,2.0,0.2788617886178862,Felix Balas,Sven Flecha,1.0,0.3333333333333333,0.3333333333333333,0.06097560975609757
20.0,26.0,2.0,2.0,0.2788617886178862,Marin Onda,Stenig Fusil,1.0,0.3333333333333333,0.3333333333333333,0.06097560975609757
12.0,20.0,2.0,2.0,0.2788617886178862,Hideki Cocinaro,Stenig Fusil,1.0,0.3333333333333333,0.3333333333333333,0.06097560975609757
4.0,20.0,2.0,2.0,0.2788617886178862,Ingrid Barranco,Stenig Fusil,1.0,0.3333333333333333,0.3333333333333333,0.06097560975609757
3.0,24.0,2.0,2.0,0.26666666666666666,Felix Balas,Minke Mies,0.0,0.3333333333333333,0.3333333333333333,0.0
7.0,12.0,2.0,2.0,0.26666666666666666,Elsa Orilla,Hideki Cocinaro,0.0,0.3333333333333333,0.3333333333333333,0.0
4.0,26.0,2.0,2.0,0.26666666666666666,Ingrid Barranco,Marin Onda,0.0,0.3333333333333333,0.3333333333333333,0.0
14.0,16.0,2.0,2.0,0.26666666666666666,Isia Vann,Lidelse Dedos,0.0,0.3333333333333333,0.3333333333333333,0.0
7.0,13.0,2.0,2.0,0.26666666666666666,Elsa Orilla,Inga Ferro,0.0,0.3333333333333333,0.3333333333333333,0.0
9.0,32.0,2.0,2.0,0.26666666666666666,Gustav Cazar,Orhan Strum,0.0,0.3333333333333333,0.3333333333333333,0.0
4.0,18.0,2.0,2.0,0.26666666666666666,Birgitta Frente,Ingrid Barranco,0.0,0.3333333333333333,0.3333333333333333,0.0
18.0,27.0,1.0,1.0,0.2552845528455285,Birgitta Frente,Kare Orilla,10.0,0.16666666666666666,0.16666666666666666,0.6097560975609757
13.0,24.0,1.0,1.0,0.24308943089430896,Inga Ferro,Minke Mies,9.0,0.16666666666666666,0.16666666666666666,0.5487804878048781
17.0,18.0,1.0,1.0,0.23089430894308943,Birgitta Frente,Sven Flecha,8.0,0.16666666666666666,0.16666666666666666,0.48780487804878053
14.0,27.0,1.0,1.0,0.23089430894308943,Kare Orilla,Lidelse Dedos,8.0,0.16666666666666666,0.16666666666666666,0.48780487804878053
11.0,19.0,1.0,1.0,0.23089430894308943,Axel Calzas,Vira Frente,8.0,0.16666666666666666,0.16666666666666666,0.48780487804878053
17.0,26.0,1.0,1.0,0.21869918699186994,Marin Onda,Sven Flecha,7.0,0.16666666666666666,0.16666666666666666,0.426829268292683
17.0,27.0,1.0,1.0,0.20650406504065041,Kare Orilla,Sven Flecha,6.0,0.16666666666666666,0.16666666666666666,0.3658536585365854
14.0,26.0,1.0,1.0,0.20650406504065041,Lidelse Dedos,Marin Onda,6.0,0.16666666666666666,0.16666666666666666,0.3658536585365854
18.0,26.0,1.0,1.0,0.20650406504065041,Birgitta Frente,Marin Onda,6.0,0.16666666666666666,0.16666666666666666,0.3658536585365854
16.0,24.0,1.0,1.0,0.2040650406504065,Isia Vann,Minke Mies,5.8,0.16666666666666666,0.16666666666666666,0.3536585365853659
20.0,24.0,1.0,1.0,0.2016260162601626,Minke Mies,Stenig Fusil,5.6,0.16666666666666666,0.16666666666666666,0.34146341463414637
,,0.0,0.0,0.2,Inga Ferro,Sven Flecha,16.4,0.0,0.0,1.0
13.0,26.0,1.0,1.0,0.19430894308943092,Inga Ferro,Marin Onda,5.0,0.16666666666666666,0.16666666666666666,0.30487804878048785
9.0,19.0,1.0,1.0,0.19430894308943092,Gustav Cazar,Vira Frente,5.0,0.16666666666666666,0.16666666666666666,0.30487804878048785
4.0,7.0,1.0,1.0,0.1821138211382114,Elsa Orilla,Ingrid Barranco,4.0,0.16666666666666666,0.16666666666666666,0.24390243902439027
12.0,26.0,1.0,1.0,0.16991869918699187,Hideki Cocinaro,Marin Onda,3.0,0.16666666666666666,0.16666666666666666,0.1829268292682927
7.0,33.0,1.0,1.0,0.16991869918699187,Brand Tempestad,Elsa Orilla,3.0,0.16666666666666666,0.16666666666666666,0.1829268292682927
14.0,24.0,1.0,1.0,0.16991869918699187,Lidelse Dedos,Minke Mies,3.0,0.16666666666666666,0.16666666666666666,0.1829268292682927
13.0,27.0,1.0,1.0,0.16991869918699187,Inga Ferro,Kare Orilla,3.0,0.16666666666666666,0.16666666666666666,0.1829268292682927
3.0,13.0,1.0,1.0,0.15772357723577235,Felix Balas,Inga Ferro,2.0,0.16666666666666666,0.16666666666666666,0.12195121951219513
3.0,20.0,1.0,1.0,0.15772357723577235,Felix Balas,Stenig Fusil,2.0,0.16666666666666666,0.16666666666666666,0.12195121951219513
4.0,19.0,1.0,1.0,0.15772357723577235,Ingrid Barranco,Vira Frente,2.0,0.16666666666666666,0.16666666666666666,0.12195121951219513
4.0,16.0,1.0,1.0,0.15772357723577235,Ingrid Barranco,Isia Vann,2.0,0.16666666666666666,0.16666666666666666,0.12195121951219513
4.0,17.0,1.0,1.0,0.15772357723577235,Ingrid Barranco,Sven Flecha,2.0,0.16666666666666666,0.16666666666666666,0.12195121951219513
7.0,18.0,1.0,1.0,0.14552845528455285,Birgitta Frente,Elsa Orilla,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
7.0,11.0,1.0,1.0,0.14552845528455285,Axel Calzas,Elsa Orilla,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
7.0,20.0,1.0,1.0,0.14552845528455285,Elsa Orilla,Stenig Fusil,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
20.0,27.0,1.0,1.0,0.14552845528455285,Kare Orilla,Stenig Fusil,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
4.0,11.0,1.0,1.0,0.14552845528455285,Axel Calzas,Ingrid Barranco,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
16.0,27.0,1.0,1.0,0.14552845528455285,Isia Vann,Kare Orilla,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
3.0,16.0,1.0,1.0,0.14552845528455285,Felix Balas,Isia Vann,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
9.0,20.0,1.0,1.0,0.14552845528455285,Gustav Cazar,Stenig Fusil,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
4.0,32.0,1.0,1.0,0.14552845528455285,Ingrid Barranco,Orhan Strum,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
12.0,33.0,1.0,1.0,0.14552845528455285,Brand Tempestad,Hideki Cocinaro,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
17.0,32.0,1.0,1.0,0.14552845528455285,Orhan Strum,Sven Flecha,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
4.0,15.0,1.0,1.0,0.14552845528455285,Ingrid Barranco,Loreto Bodrogi,1.0,0.16666666666666666,0.16666666666666666,0.06097560975609757
,,0.0,0.0,0.14390243902439026,Minke Mies,Sven Flecha,11.8,0.0,0.0,0.7195121951219513
20.0,31.0,1.0,1.0,0.13333333333333333,Sten Sanjorge Jr.,Stenig Fusil,0.0,0.16666666666666666,0.16666666666666666,0.0
4.0,24.0,1.0,1.0,0.13333333333333333,Ingrid Barranco,Minke Mies,0.0,0.16666666666666666,0.16666666666666666,0.0
17.0,31.0,1.0,1.0,0.13333333333333333,Sten Sanjorge Jr.,Sven Flecha,0.0,0.16666666666666666,0.16666666666666666,0.0
4.0,14.0,1.0,1.0,0.13333333333333333,Ingrid Barranco,Lidelse Dedos,0.0,0.16666666666666666,0.16666666666666666,0.0
7.0,9.0,1.0,1.0,0.13333333333333333,Elsa Orilla,Gustav Cazar,0.0,0.16666666666666666,0.16666666666666666,0.0
4.0,13.0,1.0,1.0,0.13333333333333333,Inga Ferro,Ingrid Barranco,0.0,0.16666666666666666,0.16666666666666666,0.0
3.0,7.0,1.0,1.0,0.13333333333333333,Elsa Orilla,Felix Balas,0.0,0.16666666666666666,0.16666666666666666,0.0
32.0,33.0,1.0,1.0,0.13333333333333333,Brand Tempestad,Orhan Strum,0.0,0.16666666666666666,0.16666666666666666,0.0
3.0,14.0,1.0,1.0,0.13333333333333333,Felix Balas,Lidelse Dedos,0.0,0.16666666666666666,0.16666666666666666,0.0
24.0,31.0,1.0,1.0,0.13333333333333333,Minke Mies,Sten Sanjorge Jr.,0.0,0.16666666666666666,0.16666666666666666,0.0
9.0,33.0,1.0,1.0,0.13333333333333333,Brand Tempestad,Gustav Cazar,0.0,0.16666666666666666,0.16666666666666666,0.0
9.0,17.0,1.0,1.0,0.13333333333333333,Gustav Cazar,Sven Flecha,0.0,0.16666666666666666,0.16666666666666666,0.0
3.0,15.0,1.0,1.0,0.13333333333333333,Felix Balas,Loreto Bodrogi,0.0,0.16666666666666666,0.16666666666666666,0.0
19.0,26.0,1.0,1.0,0.13333333333333333,Marin Onda,Vira Frente,0.0,0.16666666666666666,0.16666666666666666,0.0
18.0,33.0,1.0,1.0,0.13333333333333333,Birgitta Frente,Brand Tempestad,0.0,0.16666666666666666,0.16666666666666666,0.0
,,0.0,0.0,0.12195121951219515,Inga Ferro,Stenig Fusil,10.0,0.0,0.0,0.6097560975609757
,,0.0,0.0,0.1,Brand Tempestad,Inga Ferro,8.2,0.0,0.0,0.5
,,0.0,0.0,0.09024390243902441,Brand Tempestad,Minke Mies,7.4,0.0,0.0,0.451219512195122
,,0.0,0.0,0.07804878048780489,Brand Tempestad,Isia Vann,6.4,0.0,0.0,0.39024390243902446
,,0.0,0.0,0.07804878048780489,Brand Tempestad,Loreto Bodrogi,6.4,0.0,0.0,0.39024390243902446
,,0.0,0.0,0.06585365853658538,Brand Tempestad,Sven Flecha,5.4,0.0,0.0,0.3292682926829269
,,0.0,0.0,0.04878048780487806,Isia Vann,Vira Frente,4.0,0.0,0.0,0.24390243902439027
,,0.0,0.0,0.03658536585365854,Marin Onda,Minke Mies,3.0,0.0,0.0,0.1829268292682927
,,0.0,0.0,0.03658536585365854,Brand Tempestad,Felix Balas,3.0,0.0,0.0,0.1829268292682927
,,0.0,0.0,0.03658536585365854,Isia Vann,Orhan Strum,3.0,0.0,0.0,0.1829268292682927
,,0.0,0.0,0.02439024390243903,Kare Orilla,Marin Onda,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.02439024390243903,Loreto Bodrogi,Marin Onda,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.02439024390243903,Loreto Bodrogi,Orhan Strum,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.02439024390243903,Orhan Strum,Stenig Fusil,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.02439024390243903,Axel Calzas,Birgitta Frente,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.02439024390243903,Axel Calzas,Minke Mies,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.02439024390243903,Felix Balas,Kare Orilla,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.02439024390243903,Axel Calzas,Brand Tempestad,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.02439024390243903,Birgitta Frente,Gustav Cazar,2.0,0.0,0.0,0.12195121951219513
,,0.0,0.0,0.012195121951219514,Axel Calzas,Orhan Strum,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Marin Onda,Sten Sanjorge Jr.,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Birgitta Frente,Sten Sanjorge Jr.,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Axel Calzas,Sven Flecha,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Axel Calzas,Stenig Fusil,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Isia Vann,Sten Sanjorge Jr.,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Birgitta Frente,Vira Frente,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Axel Calzas,Marin Onda,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Axel Calzas,Lidelse Dedos,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Axel Calzas,Kare Orilla,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Axel Calzas,Isia Vann,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Axel Calzas,Inga Ferro,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Axel Calzas,Hideki Cocinaro,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Marin Onda,Orhan Strum,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Elsa Orilla,Isia Vann,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Brand Tempestad,Marin Onda,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Inga Ferro,Orhan Strum,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Elsa Orilla,Sven Flecha,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Elsa Orilla,Vira Frente,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Lidelse Dedos,Vira Frente,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Gustav Cazar,Hideki Cocinaro,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Gustav Cazar,Inga Ferro,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Lidelse Dedos,Sten Sanjorge Jr.,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Lidelse Dedos,Orhan Strum,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Gustav Cazar,Lidelse Dedos,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Gustav Cazar,Loreto Bodrogi,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Gustav Cazar,Marin Onda,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Hideki Cocinaro,Minke Mies,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Hideki Cocinaro,Sten Sanjorge Jr.,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Inga Ferro,Lidelse Dedos,1.0,0.0,0.0,0.06097560975609757
,,0.0,0.0,0.012195121951219514,Stenig Fusil,Vira Frente,1.0,0.0,0.0,0.06097560975609757
